Local Route,Light Rail,Peak Service,Rapid Route,School,Other
16436,10705,225,19026,3925,59
15499,10671,267,18421,4519,61
1756,2352,0,3775,0,13
10536,8347,223,14072,0,48
820,612,0,1283,0,11
12977,9620,242,19327,0,0
17387,11627,362,21753,5544,108
2735,3651,0,5236,0,20
17674,11859,364,21560,5700,91
13405,6989,273,13688,4983,74
16332,11502,395,20819,4718,90
14148,11666,414,22670,0,0
4137,6701,0,9370,9,19
9293,4765,127,9940,4936,1
1815,3424,0,4869,0,18
15204,9372,324,16855,4239,80
11895,8363,262,14384,2913,57
11573,9340,254,15526,0,70
6517,3158,80,6569,1861,39
16573,9338,341,17666,5786,77
11880,9258,292,16829,0,49
1835,3226,0,4156,0,27
4349,2957,16,4988,0,40
3020,5112,0,6761,0,171
18200,11890,424,23911,4904,0
3103,4635,0,5958,0,24
3736,5573,0,7765,0,32
2164,848,22,2204,0,35
2709,5108,0,7813,0,23
5899,4310,26,7269,0,0
3631,6629,0,9204,0,0
9013,4379,112,8518,4388,56
12394,9952,308,16751,0,76
11246,8489,278,14409,0,70
11237,8654,282,15559,0,52
2449,3707,0,5562,0,17
4077,6830,0,8725,0,14
9101,4373,110,9258,4931,1
11578,5892,114,10954,5852,53
3003,4645,0,6296,0,27
3189,5160,0,6911,0,34
15814,10464,324,18290,5995,82
8402,6501,144,10400,0,34
19316,12226,351,22311,5990,110
16467,10797,256,19135,4678,95
13313,6459,198,13817,5004,40
12750,6277,202,12590,4965,63
17339,10895,281,19114,5080,75
16867,11452,333,21017,4644,106
11244,5630,167,11301,5205,64
3537,4717,0,6425,0,20
2481,5640,0,6881,0,21
11814,5681,180,11606,5116,52
13036,8545,215,15050,4514,105
15837,11516,351,20528,2345,84
1092,1081,0,1971,0,0
19380,12044,463,25312,5786,1
2719,4481,0,6552,0,13
2282,3173,0,4503,0,23
11353,6969,213,12215,2565,76
18877,12355,468,24998,5752,1
17225,11114,333,20758,5031,79
13752,8194,237,14711,4502,67
14424,10477,284,17591,4425,64
3175,4981,0,6683,0,1
1364,2406,0,3178,0,4
2154,3826,0,5430,0,16
15879,10904,330,19511,4755,71
4742,5775,0,8586,0,20
2035,3565,0,4853,0,23
13322,8369,212,14852,4448,61
18173,12156,393,20914,5656,80
14021,12060,313,23197,0,0
16855,9005,308,17343,6264,111
3016,5045,0,6759,0,30
2987,2388,55,3662,0,0
959,1086,0,1821,0,0
821,709,0,1425,0,12
17771,11162,364,22459,5421,0
16465,11110,281,19704,5200,76
12127,6074,157,11887,5078,54
15168,8604,314,16204,5318,55
12891,10139,366,17634,0,65
13529,9363,247,16422,2344,81
1960,2800,0,4382,0,14
16457,11148,385,20283,4678,91
3988,6036,0,8328,0,24
6888,5062,129,9600,0,8
18698,12296,298,24258,5634,2
13115,6539,217,12691,5071,49
11725,9846,348,16297,0,49
15028,12441,421,24365,0,1
17476,11100,396,20651,5604,89
2632,4137,0,5868,0,16
79,409,0,156,0,0
16565,9548,258,17365,5472,79
11100,7081,221,12751,841,57
3124,6520,0,7922,2,1
1958,3660,0,4666,0,33
15388,9114,289,16617,5269,84
8322,5964,140,10293,0,32
3687,6170,0,7773,0,26
16090,8742,318,16780,5741,84
18169,11827,484,25470,5711,0
1866,2063,0,4063,0,18
19911,12308,485,26947,6518,0
3258,1687,41,3734,72,8
2775,1231,36,2806,0,29
12863,8321,233,14594,4367,58
15019,9623,240,17206,4386,94
15669,10790,380,18916,5000,98
3894,5093,0,6917,0,18
1935,3126,0,4911,11,20
13920,8671,191,15136,4728,109
9813,7663,252,13674,0,45
16929,10875,256,19123,4654,64
379,506,0,850,0,0
5039,6200,0,8743,0,26
18033,11508,363,20873,5229,72
20110,12211,516,26749,6622,0
13441,7017,237,13669,5350,46
16409,11289,276,19301,4789,82
2534,4322,0,6253,0,21
10571,5992,175,11603,4309,62
13618,8881,270,15462,4768,97
18918,11369,370,21562,6431,96
2856,4739,0,6702,0,17
4063,6734,0,9130,0,0
6701,5250,111,9377,0,3
1028,1653,0,2245,0,9
3861,5745,0,7858,0,64
10515,8757,211,14394,0,68
14039,9654,228,16573,3421,51
20266,14527,416,27198,6358,0
2384,4102,0,5694,0,34
11297,5464,148,10927,5289,89
18595,12416,363,24492,5150,1
3741,2126,58,4792,147,8
2333,4119,0,5938,0,13
15409,10825,260,18974,4402,92
16863,10584,423,19544,5557,85
2079,800,22,1915,19,17
1074,1489,0,2243,0,0
17731,11437,266,21334,5628,115
2317,4011,0,5786,0,13
13922,11068,406,19070,0,80
11988,9336,193,15869,0,78
9863,7632,226,13141,0,44
13438,8299,221,14648,4620,58
4922,6073,0,8213,0,24
2074,753,14,1909,0,22
18667,11522,406,21230,6756,88
1888,2750,0,4112,0,14
12001,6149,187,12148,5041,69
10284,7898,184,13242,0,48
20335,12064,529,26842,7255,1
9609,7958,235,12697,0,52
15563,10628,287,18360,4607,87
15523,10625,274,18453,4759,81
17505,11695,349,21288,4961,76
1,0,0,3,0,0
15478,10385,258,18318,4393,78
14986,9623,263,17075,4501,77
1716,2424,0,3957,0,22
12729,6408,228,12778,5228,41
19599,12447,478,25342,5736,0
3905,6565,0,9388,0,0
17478,11640,333,20972,5190,159
19306,12747,423,22837,6025,82
11977,5930,172,11904,5184,58
13225,8683,228,14884,4201,39
16775,10728,312,19631,5672,71
11021,8155,277,14571,0,49
16627,10852,325,19294,5172,56
2831,1555,59,3692,70,1
17882,10840,434,23380,6021,0
11774,5871,176,11698,5135,50
2375,3845,0,5868,0,13
2494,4437,0,6251,0,14
13699,8330,252,14685,4238,46
4804,6173,0,8623,2,26
2429,943,23,2390,0,33
2728,3949,0,5549,0,22
4023,2154,78,4980,800,2
13989,9034,198,15513,5070,50
13528,9163,187,14770,3830,65
2055,3196,0,4597,0,20
10516,6492,128,10990,4013,48
3940,6141,0,8266,0,12
16262,11164,362,19238,4795,93
2511,4697,0,6450,0,20
17920,11871,388,20313,5164,62
883,1321,0,2098,0,10
6913,6330,118,9780,0,0
17194,9979,315,18817,5599,98
15166,9802,264,17773,5120,123
8049,5878,179,9748,0,36
16271,10494,362,19149,4833,65
15710,9112,237,15836,6347,102
6486,4876,21,7742,0,43
2299,4248,0,5101,0,33
2098,3309,0,5210,0,26
18231,11851,383,21160,5821,94
19785,12012,482,25998,6668,0
2225,3257,0,4599,0,17
3123,4847,0,6049,0,33
1263,2186,0,3243,0,19
2943,4965,0,7552,0,0
11388,6868,203,12338,3985,83
7397,7663,107,10164,0,0
2387,4467,0,6187,0,23
10852,8339,258,14102,0,64
12878,10073,322,17691,368,77
12354,6322,142,11858,5729,78
4021,6110,0,8416,0,21
7244,5395,114,9896,0,10
2704,4952,0,6408,0,23
2510,4364,0,6116,0,34
17500,11811,383,21486,5634,119
3046,4849,0,7014,0,6
1510,1951,0,3136,0,18
15954,10448,331,18810,5266,65
8773,6938,236,12938,0,0
11289,6341,167,11741,4457,51
16440,9534,335,17212,5680,78
977,1193,0,1999,0,0
11420,7405,161,12708,3479,51
19485,12217,492,26363,5358,0
1905,745,17,1758,10,18
5972,3783,70,6911,0,29
3311,5053,0,6769,0,19
1828,3004,0,4246,0,13
2441,4214,0,6279,0,15
13215,9540,242,16023,882,66
12361,9864,398,19326,0,0
4319,6477,0,8941,0,31
15434,9897,315,18010,4044,74
2192,3590,0,5281,0,19
2880,4493,0,5914,0,26
2126,813,21,2127,0,17
13382,6840,223,13813,5210,68
16698,9402,395,22215,5750,0
3455,4915,0,7531,0,21
9303,5605,131,10776,4733,5
17296,11619,307,20097,5490,100
13219,8006,270,13883,4467,54
16479,11744,311,20257,4854,87
15703,10374,319,18275,4166,82
2365,3802,0,4993,0,18
19435,12306,414,26179,5776,0
12711,9628,364,18994,0,0
13001,8735,182,14701,2498,123
4025,6142,0,8473,0,25
2507,4680,0,6310,0,22
13625,9479,298,16902,2557,65
17838,11925,372,24095,5345,0
10092,5056,276,12681,0,40
15411,10537,330,18351,4814,78
2874,4172,0,5745,0,1
13176,8858,167,15019,4461,71
3340,1821,41,4129,0,2
10052,5004,219,12502,0,46
756,798,0,1416,0,0
13377,7956,208,14689,4899,75
12319,6259,165,11917,4962,55
9438,7927,213,12931,0,27
2211,3647,0,4879,0,28
3098,4506,0,6145,0,33
12311,7163,114,12151,5266,64
18107,12032,298,20985,5945,124
7933,3671,91,8221,3882,1
602,611,0,1228,0,8
15376,10187,332,18262,4847,60
13366,7524,212,14318,5319,89
14429,10162,240,17486,4327,63
11957,8944,147,14679,1355,58
2607,5029,0,7004,0,14
2078,3802,0,5329,0,21
4095,6110,0,8694,0,21
1245,1415,0,2362,0,0
2351,983,18,2344,0,29
2028,3748,0,5191,0,21
19105,12898,479,25750,5437,0
747,664,0,1292,0,1
15704,10860,361,22332,1158,0
12338,9598,175,15433,409,60
10638,7976,212,13777,0,69
11992,11516,235,17648,0,69
2065,3290,0,4619,0,30
4052,2305,58,4977,117,2
16502,11026,351,19604,5281,91
16776,11300,383,20242,4401,72
18444,11645,476,24190,5700,1
2948,4648,0,6328,0,28
2191,3992,0,5284,0,9
13382,8603,257,15154,3988,75
2619,1085,26,2647,0,22
14132,8463,285,15602,5037,50
1939,2908,0,4165,0,23
1897,2846,0,4312,0,16
3113,4730,0,6304,0,28
2789,3713,0,5451,0,8
13524,7172,237,13918,5160,66
3181,2355,56,3768,0,2
12003,9268,361,18173,0,0
17377,11267,365,20932,5406,87
17427,10766,339,20120,5269,81
2269,897,20,2263,0,20
16539,10869,316,19710,5143,66
11963,8963,296,15793,0,61
11367,6862,195,12653,4084,48
9448,6380,191,11243,0,33
3055,4445,0,6054,0,23
14879,10504,358,20172,716,0
12330,7863,222,13727,4404,49
14136,8295,268,15328,2467,50
4114,2283,66,5166,893,0
13285,8413,188,14184,4534,42
16578,8948,294,17583,5881,109
19392,12180,461,25344,5935,0
14430,8241,309,15403,5020,66
12722,10390,357,18357,0,84
17301,11169,358,20868,5566,94
1451,2165,0,2735,0,0
15896,11184,276,19307,4443,67
16016,10469,398,18380,4793,76
1433,1824,0,3077,0,0
19887,12553,457,25617,5765,15
16028,9564,247,16553,5433,57
19950,12601,459,25864,5754,1
2855,4303,0,6034,0,11
1996,729,22,1984,0,16
10671,5459,143,10233,4732,38
9614,5065,136,10446,4838,4
13333,8416,261,14670,4528,53
1704,2837,0,4354,0,12
9845,7470,173,12618,0,83
12318,10541,260,17366,0,61
14620,9978,369,17664,170,72
10981,8488,331,16238,0,0
4768,5618,0,8056,1,24
2036,2846,0,4520,0,15
3406,12088,50,5273,1124,22
15850,10345,334,18390,4821,91
1081,1148,0,2062,0,2
16230,11061,334,19905,5439,72
2802,4292,0,5975,0,22
16900,11259,308,19761,5074,102
3792,4595,0,6009,0,0
2536,3509,0,5396,0,0
21059,13128,529,28340,6634,0
16583,11200,269,19885,5013,77
16088,9447,300,17588,5489,71
4555,5740,0,7260,0,0
3836,4871,0,6909,0,19
2083,3221,0,4659,0,16
10505,5865,168,11053,4531,33
12873,8272,222,14776,4148,52
10806,8737,302,15269,0,60
17080,11374,349,20551,4878,80
16175,8571,328,20475,5959,0
12698,7583,188,14168,4564,61
6639,4430,62,7920,0,43
13944,8003,170,14636,5217,115
2855,4626,0,6007,0,21
3686,5603,0,8089,0,0
3704,5533,0,7544,0,12
10141,6917,141,11752,1883,41
3689,5536,0,7573,4,21
13358,8597,246,14853,4479,81
14437,10093,376,17790,4252,92
14820,10167,354,17748,3425,51
19068,12320,455,25835,5310,0
5810,3703,84,6896,0,37
7748,3515,73,7175,2000,34
2957,4761,0,6214,0,18
2897,4459,0,5731,0,22
16922,10937,340,19485,5398,79
1759,2932,0,3913,0,15
16092,11230,255,19419,4695,78
2593,1101,19,2575,0,21
16073,10802,317,19564,4777,106
2086,878,20,2167,0,22
2077,3303,0,4665,0,20
10872,8496,226,14615,483,48
19204,12628,450,26299,5688,0
6584,4094,113,7577,0,45
570,549,0,1014,0,13
9189,4962,95,10034,4688,0
13905,10973,361,19198,0,77
17117,11370,351,21000,4757,102
2989,1640,60,3682,86,0
12010,9618,325,16433,0,79
2082,2560,0,4260,0,22
14079,8440,267,15871,5085,137
14534,9800,249,16362,3665,50
17232,11611,354,21004,5297,84
4324,5584,0,8276,0,19
3819,8161,0,9533,0,115
13012,7713,214,13917,3705,42
2941,4142,0,6034,0,11
18996,12111,477,26214,5567,0
2736,4271,0,6258,0,29
11361,9231,220,15268,0,63
2339,1214,16,2474,9,11
9915,7671,235,13210,0,58
16721,9261,353,18172,5784,70
11249,8376,332,14407,0,49
11123,9207,202,15486,0,57
13418,8535,255,15308,4970,57
12441,8744,227,14611,3798,55
12902,7135,192,13176,5127,37
3400,5289,0,7369,0,24
9044,5188,158,10514,4819,6
1687,2709,0,3998,0,10
1509,2415,0,3241,0,13
15767,8629,276,15967,6561,59
2819,4822,0,6914,0,13
18743,11530,408,24273,5962,13
13683,9034,234,15536,4531,54
1733,2489,0,3663,0,22
10114,7269,267,12813,0,56
13072,8453,152,14451,4094,44
16395,10312,346,18537,4893,71
2196,3969,0,5130,0,13
12135,6702,163,12374,4381,59
13710,8879,269,15691,4375,71
12567,6327,128,11990,5629,61
18567,11812,491,24402,5733,0
11175,7493,197,13145,756,63
1474,2342,0,3389,0,16
16548,9492,323,17840,5307,65
12338,7825,198,13925,2244,54
2543,4608,0,6010,0,20
8323,5489,144,9855,0,37
18395,11678,403,24636,5465,0
2465,4161,0,5987,0,27
16718,9942,294,18162,5493,161
3954,9259,0,10078,0,2
13714,7700,227,15424,4499,60
4108,6610,0,9131,0,14
16419,11475,344,20303,4587,105
11993,9988,254,16913,0,72
14879,9397,322,17133,4438,95
2448,3993,0,5499,0,23
3026,4498,0,6305,0,33
5643,3514,49,6297,0,40
13991,7885,244,14789,4725,39
16373,11618,369,21095,4738,89
18081,11873,410,24562,5797,0
4155,6994,0,8851,0,22
15674,9502,289,17610,5192,95
4045,4739,0,6000,0,0
18465,11622,438,24108,5712,0
16356,9283,324,17202,5675,64
16154,10881,235,18718,4686,85
1386,2106,0,3074,0,3
13693,8078,283,14925,4722,74
2035,720,23,1846,0,12
11999,9403,363,15236,0,73
16250,10883,287,19003,5330,110
16822,10454,367,18771,5006,75
2388,4198,0,6399,0,58
2808,4708,0,6475,0,21
2005,2887,0,4341,0,31
2250,3419,0,4524,0,35
2654,4737,0,6379,0,68
16262,9740,226,17216,5391,82
16353,10707,334,19483,4807,102
4082,6050,0,8568,0,24
2147,864,27,2153,0,25
6332,4990,35,7565,0,41
2186,4229,0,5843,0,24
16200,10787,244,18997,4777,62
2015,3304,0,4498,0,26
16107,10283,365,18880,4627,78
16147,10628,334,18877,5774,59
15215,10129,380,17883,4383,67
14360,8657,233,16306,4217,62
1614,2777,0,3759,0,1
14014,8862,254,16040,4773,72
9067,5832,140,10841,3578,3
13714,7935,266,14466,4936,48
3782,4743,0,5886,0,0
20182,12363,491,27319,6426,45
14114,9377,254,16357,3943,134
2177,5018,0,4315,0,0
11596,5647,170,11223,5176,58
2642,3748,0,5713,0,0
17080,10948,342,19202,5177,70
14095,8541,232,15849,4697,54
15595,9565,244,16451,5047,64
2153,3185,0,4369,0,17
3190,4487,0,6112,0,16
17761,12660,317,24355,4542,0
1760,1703,0,4112,0,12
16769,10269,368,18505,2300,71
14893,10108,390,17550,4643,66
1893,2252,0,3890,0,0
12087,6195,174,12014,5165,55
2670,3272,0,5531,0,0
2914,4519,0,6777,0,0
2788,4381,0,6498,0,24
16541,9724,311,18003,5426,108
2992,5583,0,7530,0,0
15993,10937,357,18900,4914,92
17754,11095,413,19694,5391,88
9488,7256,253,12413,0,40
14044,9443,185,16075,4122,109
18405,11455,393,20885,5932,88
5292,4167,51,6005,0,38
10496,5460,236,13303,0,45
13340,7215,191,13970,5386,47
17741,11575,486,23387,5010,1
15000,10888,365,18112,2584,63
19318,12323,377,22592,6007,126
2820,4036,0,5516,0,17
4792,6039,0,8107,0,15
17712,11308,257,19452,6174,100
2951,1519,47,3497,33,1
7511,3291,77,6912,2041,61
15884,10685,367,18317,4883,95
13561,9302,177,15288,4191,53
8961,5466,151,11014,3555,7
6419,4160,81,7608,0,39
2440,3756,0,4993,0,26
12828,9451,277,15889,679,70
18614,12644,384,25079,5224,0
11689,9680,309,16250,0,49
3580,4356,0,6425,0,18
3181,5651,0,7180,0,8
14281,9948,269,16941,2811,42
4248,2987,12,4744,0,31
2670,4615,0,6727,0,13
947,892,0,1569,0,0
10397,6065,134,11144,4115,38
10321,5114,122,9626,4910,51
5447,7090,0,7922,0,0
4003,2449,133,5846,108,0
16764,9151,280,17836,5839,99
14071,9746,221,15947,4199,50
16451,9619,347,17927,5171,65
17730,11484,436,24233,5704,0
2369,989,24,2407,0,23
16384,11381,238,20144,4708,72
12099,7798,177,13846,2940,57
12202,6435,143,11899,5591,59
17048,10892,350,18756,5162,66
15799,11026,256,18641,4859,83
16928,11291,304,20763,5036,101
7872,3510,78,7119,2116,63
2718,4322,0,6499,0,51
1910,3759,0,4918,0,21
12513,6712,161,12778,4808,46
2252,4891,0,6560,0,15
15799,9347,215,16832,5684,43
706,889,0,1468,0,2
10974,7946,265,14248,0,58
14974,9894,232,17648,3816,65
11694,5756,167,11698,5384,42
1810,2725,0,4055,0,27
10779,5642,160,10635,4314,65
3708,5759,0,7436,0,33
15089,12660,426,24221,0,1
12530,10259,378,18402,0,71
1966,3213,0,4514,0,11
12743,9704,370,19481,0,2
20171,12442,493,27226,6571,35
2431,1046,20,2326,0,27
20009,14789,403,27732,5099,0
11342,5503,239,11623,4938,37
2094,3260,0,4717,0,15
11722,6337,157,11965,4892,49
14492,9646,266,16659,3916,176
2448,4337,0,5949,0,23
8319,4023,71,8072,2024,42
16892,9733,320,18152,5769,85
2618,4153,0,5880,0,18
3186,5064,0,7001,0,0
13325,6968,273,13565,5488,47
4103,6483,0,9145,13,22
18155,11450,392,20665,5971,123
18722,11596,445,25349,5945,76
18814,11527,498,24134,5922,0
15475,10479,371,18701,4730,70
18520,11127,379,20624,6550,77
3898,6625,0,9358,0,3
3857,6066,0,8963,0,0
8962,5841,190,10557,0,30
17301,11173,351,20921,5004,65
2086,3431,0,4734,0,22
11101,7148,214,12939,3347,42
4126,5234,0,7066,0,0
2453,2544,0,4521,0,14
13929,8144,209,15109,5254,63
13366,9859,357,17289,2837,71
1633,2026,0,3206,0,18
2506,4139,0,6115,0,15
2947,4949,0,6182,0,17
2693,5301,0,7276,0,31
4165,6135,0,8411,0,14
12206,7602,223,13638,3631,39
15744,10793,420,21636,1162,0
14100,10587,362,21046,0,0
13507,8622,196,15511,4108,71
2534,4020,0,5720,0,19
3516,5607,0,7747,0,22
15786,9942,302,17728,5207,59
1353,1671,0,2504,0,12
3998,2298,106,5544,97,1
8635,5435,137,10678,3290,3
12914,8289,216,14440,4420,42
3084,4630,0,6502,0,30
18055,10993,417,23455,5830,0
11554,9883,225,15609,0,67
19447,12102,472,26048,5656,0
11979,9532,259,15004,0,76
16823,9430,340,17491,5870,93
17315,11245,356,20639,4842,73
15520,10326,317,18804,4726,66
13821,8648,209,15268,4045,59
13860,10799,417,22073,0,0
13835,10550,455,19862,0,1
17106,11542,373,20971,5703,72
9081,7982,176,12660,0,52
20387,11609,499,26610,6766,1
1856,2895,0,4146,0,35
18224,11833,469,24440,5626,0
12663,6651,143,12389,5514,50
2091,3086,0,4440,0,17
2691,1217,20,2926,0,27
13602,8231,262,15038,4737,65
16467,11024,362,19855,4996,76
14689,9787,245,17261,4652,78
3845,6139,0,8120,0,20
3635,5750,0,8070,0,11
13656,9160,348,16289,4443,71
